2026-09-21 15:54:28,IClickFix,domain,k2demo.in,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926584/
2026-09-21 21:49:16,vSkimmer,domain,kathmandubooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926865/
2026-09-21 21:49:16,vSkimmer,domain,kellerbooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926866/
2026-09-21 15:54:28,IClickFix,domain,khounkham.com.la,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926585/
2026-09-22 07:10:13,php.shin_webshell,domain,kifafijy.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927244/
2026-09-22 05:15:44,php.shin_webshell,domain,kkrot49695.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927135/
2026-09-22 03:34:51,ClearFake,domain,kx430z0d.lisapierce-mft.com,#ClearFake #mac-0xdcf2 #macOS,https://threatfox.abuse.ch/ioc/1927100/
2026-09-21 15:54:29,IClickFix,domain,laasiasalon.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926586/
2026-09-21 18:58:55,ClearFake,domain,lagranvina.com,#ClearFake,https://threatfox.abuse.ch/ioc/1926775/
2026-09-21 19:08:59,ClearFake,domain,lakefayettervpark.com,#ClearFake,https://threatfox.abuse.ch/ioc/1926781/
2026-09-21 15:54:29,IClickFix,domain,lalibelahomestay.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926587/
2026-09-22 10:51:46,php.shin_webshell,domain,lemyjyhu.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927314/
2026-09-21 21:49:16,vSkimmer,domain,leurabooks.com.au,#skimming #victim,https://threatfox.abuse.ch/ioc/1926867/
2026-09-22 05:00:02,Unknown malware,domain,linkedlin-us.com,#ClickFix #etherhide,https://threatfox.abuse.ch/ioc/1926943/
2026-09-22 03:31:10,ClearFake,domain,lisapierce-mft.com,#22September2026 #ClearFake #Commandline #macOS,https://threatfox.abuse.ch/ioc/1927097/
2026-09-21 16:08:42,ClearFake,domain,luxurybagsbd.com,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1926627/
2026-09-21 15:07:47,AnimateClipper,domain,mail.techstac.cc,#AnimateClipper #ClearFake #ClickFix,https://bazaar.abuse.ch/sample/f6fe88b7c90cfbfca749498320d01a147d019b8d8473c80557507a215352e4d5/
2026-09-22 04:59:06,vSkimmer,domain,mbs-standoffs.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926979/
2026-09-21 21:49:16,vSkimmer,domain,mcdowellsemporium.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926868/
2026-09-21 21:49:16,vSkimmer,domain,mcinbooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926869/
2026-09-22 04:59:54,Unknown malware,domain,metricsfeedware.com,#ClickFix #etherhide,https://threatfox.abuse.ch/ioc/1926951/
2026-09-21 15:54:29,IClickFix,domain,midlifewellnessinstitute.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926588/
2026-09-21 14:07:31,ClearFake,domain,mindandbodyhealing.in,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1926499/
2026-09-21 15:56:38,IClickFix,domain,moneyhub-walletdrive.click,#ClickFix #fakeupdates #MoneyHub #phishing #TDS,https://threatfox.abuse.ch/ioc/1926553/
2026-09-22 05:12:35,php.shin_webshell,domain,mspur68524.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927134/
2026-09-21 19:18:56,ClearFake,domain,mychartradyschildrens.org,#ClearFake,https://threatfox.abuse.ch/ioc/1926784/
